geo,ar1,ma1,ma2,ma3,ma4,ma5,intercept,S1-12,C1-12,S2-12,C2-12,S3-12,C3-12,S4-12,C4-12,sigma,S5-12,C5-12,C6-12,ar2,ar3,ar4,ar5,drift
LT,1.0035104409701108,-0.7307959134130354,NA,NA,NA,NA,NA,-0.026183505484512426,-0.030962322463636865,0.011539774718152946,0.003836446337734575,-0.004096869607544813,0.0029572388752848195,-8.539783688186681e-4,-9.254221485718219e-4,1.347252176681582e-4,0.003702509712457166,9.547356658304454e-4,NA,-0.45485668287862807,NA,NA,NA,NA
LU,-0.02152858679465127,0.7796846893866811,NA,NA,NA,NA,2.4913937010728406,-0.031872646500673604,-0.05292333095103068,0.0076379482417934155,0.0017889979639296562,-0.006532792442465348,0.005850380943595088,-0.0011394780612559666,-0.009710323912771313,3.220759765269366e-4,0.005067178197365015,0.0052317598078318265,NA,0.4025208754302779,NA,NA,NA,NA
LV,1.8497516054844043,-1.7327559473014813,0.860888116610902,NA,NA,NA,NA,-0.02319923926402572,-0.0269794595473299,0.011272153900658067,0.003979040118564556,-0.004526273129143249,0.003400609016486889,9.114392217696984e-4,-0.0020059201869957162,1.1092210786320881e-4,0.003517396203976196,0.001723361638424679,5.073038129600506e-4,-1.3622043723695143,0.36316236859611956,NA,NA,NA
MT,0.985681180274086,-0.6858764623493733,NA,NA,NA,NA,NA,-0.029572325781685383,-0.018039259308005054,0.006394600113099464,-0.008668110564518518,-0.005268853517425104,-0.002653431578168902,1.2378356085364237e-4,-0.0011341939483638487,6.995906446699771e-4,0.0028154128823634416,0.0024273221479401176,NA,-0.5303518056751562,NA,NA,NA,NA
NL,1.5316866168139696,-1.7554304749480774,0.8778039098546928,NA,NA,NA,NA,-0.024343516996962255,-0.036381600288458,0.0034160634019112226,-0.0019910597104054444,-4.145552771682447e-4,0.005348462883621864,-6.881700317072582e-4,-0.005915032884561822,8.321377640275692e-5,0.004378708443009357,0.003052240257191359,0.0022840076879346994,-0.8061999201201706,NA,NA,NA,NA
PL,0.9051150641944004,-0.7844724033694582,NA,NA,NA,NA,NA,-0.022838430467913014,-0.024240991936677614,0.01374033800605822,-1.2342909936339467e-4,-0.0031882877942756038,-5.720892382503166e-4,-0.002113081775838457,-0.002992110381567651,1.7071806267646115e-4,0.0022557970448984404,0.0028113157647393352,NA,-0.40828860582256377,NA,NA,NA,NA
PT,0.6589965976595817,-0.5154389752454274,-0.44553638448636396,NA,NA,NA,NA,-0.025190825036044057,-0.03156705032212762,0.006607823681705696,-0.010501728123390916,-0.0015789764114928252,0.003736456101370937,-0.0010501594724585033,-0.0014627491492668447,1.615476405660019e-4,0.003862447523376237,5.053265300186474e-4,0.0013707580812653952,NA,NA,NA,NA,NA
RO,0.4190596137261927,1.029366750354189,0.20669013800378647,NA,NA,NA,2.6531866932585757,-0.03368606844680304,-0.02499200322866236,0.013242344443887206,1.239627561494313e-4,-0.006910039374567288,0.0019250438589393012,-0.003652611655802247,-0.002053103045602425,2.0520751389735268e-4,0.002733494127030781,3.4062116995673547e-4,5.506528560223281e-4,NA,NA,NA,NA,NA
SE,1.6852706575061562,-1.759408362495762,1.6551710953344616,-0.85588993321425,NA,NA,NA,-0.013501094508199722,-0.02869750949840379,0.012996320491805723,0.001378489286961257,-0.00999065465745431,-3.3818885532621384e-4,6.400346051530739e-4,-0.004736681840165765,5.3137093331911565e-5,0.001181893260447068,0.0028895499104068263,-0.0021369492947700686,-1.651377670065834,0.7113835507733994,NA,NA,1.7397899755421732e-4
SI,0.9454215810474249,-0.7099385443690254,NA,NA,NA,NA,NA,-0.027959077620983437,-0.029112835345500764,0.022132396058537295,-0.0032578545400513094,-0.0016397393045696057,0.0010106801154037282,-6.641194967073582e-4,-0.0018301604908019988,4.7032060233665834e-4,0.003917855806428442,0.0017566506026663415,0.0015353836292555329,-0.681670875618855,0.31379613660894096,-0.2659124919952051,NA,NA
SK,0.6469738213193481,0.36599216796496425,NA,NA,NA,NA,2.6161036188966422,-0.020864090484457972,-0.019870043994539434,0.016788688769189243,-0.00404744537089243,-0.004225756092313968,-0.003417411757653678,-0.0029890389741224835,-0.004290242058683672,3.5039666886424735e-4,0.0031800296861680356,0.0022639222987742135,-8.486936758854242e-4,NA,NA,NA,NA,NA
