month_end,geo,yhat,fourier_order,bic,aicc,sigma2,loglik,rmse,mae,acf
2023-03-01,ES,28642178.91844591,6,-2352.2695262929738,-2410.6034609219414,1.2097598103829106e-4,1220.9383352355064,0.16411290896675135,0.0823590681224787,-0.4162952404224412
2022-12-01,FI,1327282.6800016593,6,-2542.2990147671358,-2604.4776584936217,7.501559308540728e-5,1318.9603146579514,0.11476136314271188,0.061009921580076044,0.009082853344307052
2023-01-01,FI,1270830.5922177704,6,-2542.2990147671358,-2604.4776584936217,7.501559308540728e-5,1318.9603146579514,0.11476136314271188,0.061009921580076044,0.009082853344307052
2023-02-01,FI,1445185.386246447,6,-2542.2990147671358,-2604.4776584936217,7.501559308540728e-5,1318.9603146579514,0.11476136314271188,0.061009921580076044,0.009082853344307052
2023-03-01,FI,1627958.989779093,6,-2542.2990147671358,-2604.4776584936217,7.501559308540728e-5,1318.9603146579514,0.11476136314271188,0.061009921580076044,0.009082853344307052
2022-12-01,FR,20670979.11648161,6,-765.0251394475345,-812.1533336885661,2.588811782252822e-4,425.32666684428307,0.23883374913659108,0.12795902831677053,-0.002301216713926581
2023-01-01,FR,19846048.524582814,6,-765.0251394475345,-812.1533336885661,2.588811782252822e-4,425.32666684428307,0.23883374913659108,0.12795902831677053,-0.002301216713926581
2023-02-01,FR,21720845.578901406,6,-765.0251394475345,-812.1533336885661,2.588811782252822e-4,425.32666684428307,0.23883374913659108,0.12795902831677053,-0.002301216713926581
2023-03-01,FR,23065898.11110781,6,-765.0251394475345,-812.1533336885661,2.588811782252822e-4,425.32666684428307,0.23883374913659108,0.12795902831677053,-0.002301216713926581
2022-12-01,HR,646617.1764757255,6,-1082.8870869153957,-1132.8089848583058,4.6415714736904235e-4,582.485573510234,0.2678161028432237,0.1437419097837892,-0.011118712227891923
2023-01-01,HR,534507.5170746461,6,-1082.8870869153957,-1132.8089848583058,4.6415714736904235e-4,582.485573510234,0.2678161028432237,0.1437419097837892,-0.011118712227891923
2023-02-01,HR,552784.8077242862,6,-1082.8870869153957,-1132.8089848583058,4.6415714736904235e-4,582.485573510234,0.2678161028432237,0.1437419097837892,-0.011118712227891923
2023-03-01,HR,907135.9104114728,6,-1082.8870869153957,-1132.8089848583058,4.6415714736904235e-4,582.485573510234,0.2678161028432237,0.1437419097837892,-0.011118712227891923
2022-12-01,HU,1461902.8558934224,5,-1377.24608927264,-1425.5025074669957,2.3799877070974595e-4,727.6014561626477,0.19662930204487233,0.1008221893062387,0.029370608198481397
