date,country_code,country_cc_trav,country_trav,country_hotels,country_car_rent,country_appart,country_hike,country_trav_gui,cc_fooddrink,cc_restaurant,cc_groc,cc_fastfood
2015-10-01,AT,57,25,24,5,17,9,24,69,62,53,62
2015-11-01,AT,53,26,24,5,13,7,25,68,63,58,58
2015-12-01,AT,53,27,25,6,13,12,22,75,60,76,56
2016-01-01,AT,59,31,26,8,14,14,26,67,62,49,66
2016-02-01,AT,62,29,27,5,17,12,32,68,64,50,60
2016-03-01,AT,57,24,24,9,12,12,21,66,63,52,64
2016-04-01,AT,54,23,23,6,13,11,25,64,58,51,57
2016-05-01,AT,59,27,26,8,10,14,30,66,66,52,65
2016-06-01,AT,61,31,30,8,13,21,33,63,62,55,60
2016-07-01,AT,71,34,31,11,14,29,34,61,63,56,63
2016-08-01,AT,74,31,29,9,12,19,28,63,64,52,58
2016-09-01,AT,63,26,27,6,16,11,51,65,67,50,67
2016-10-01,AT,58,27,38,8,16,9,32,67,69,56,63
2016-11-01,AT,55,27,41,8,17,8,40,67,65,52,69
2016-12-01,AT,59,28,26,6,13,8,26,73,66,72,71
2017-01-01,AT,60,30,26,8,15,0,25,66,66,52,67
2017-02-01,AT,65,28,25,8,11,0,25,66,61,53,67
2017-03-01,AT,63,28,23,8,12,0,28,69,67,53,69
2017-04-01,AT,59,26,25,9,13,0,33,72,69,59,69
2017-05-01,AT,61,27,25,8,13,0,28,68,68,57,69
2017-06-01,AT,64,29,27,9,15,0,28,68,74,62,71
2017-07-01,AT,74,34,33,13,17,0,31,69,74,59,73
2017-08-01,AT,81,31,30,10,15,0,36,70,75,62,70
2017-09-01,AT,68,29,27,7,15,0,33,75,74,62,69
2017-10-01,AT,63,29,25,7,19,0,27,74,79,62,74
2017-11-01,AT,57,28,25,8,13,0,31,77,73,61,71
2017-12-01,AT,65,28,28,6,14,0,28,82,76,78,85
2018-01-01,AT,64,32,27,7,14,0,29,72,73,58,84
2018-02-01,AT,65,29,25,8,12,0,29,72,77,58,80
2018-03-01,AT,61,26,25,7,11,0,33,76,79,64,86
2018-04-01,AT,60,25,26,7,14,0,35,67,74,63,76
2018-05-01,AT,62,27,24,11,12,0,30,74,80,65,83
2018-06-01,AT,67,43,28,13,15,0,41,73,82,64,81
2018-07-01,AT,79,32,30,12,17,0,38,73,84,64,89
2018-08-01,AT,88,32,32,11,17,0,39,72,83,66,88
2018-09-01,AT,65,27,25,8,12,0,31,73,79,59,84
2018-10-01,AT,62,27,24,8,11,0,27,78,80,62,83
