month_end,geo,yhat,fourier_order,bic,aicc,sigma2,loglik,rmse,mae,acf
2022-10-01,CZ,4043905.9816050306,5,-1186.9690754698438,-1234.290167355049,3.684706737015957e-4,632.0502560913177,0.2455756129766552,0.10856474761890433,0.056519916393693075
2022-11-01,CZ,2610600.351404859,5,-1186.9690754698438,-1234.290167355049,3.684706737015957e-4,632.0502560913177,0.2455756129766552,0.10856474761890433,0.056519916393693075
2022-08-01,DE,48212784.64494252,6,-2523.14457500936,-2592.691550545392,7.191345919496436e-5,1315.2676081567931,0.13450740387253535,0.06766616777361328,-0.006854960608411214
2022-09-01,DE,35892207.70123945,6,-2523.14457500936,-2592.691550545392,7.191345919496436e-5,1315.2676081567931,0.13450740387253535,0.06766616777361328,-0.006854960608411214
2022-10-01,DE,31455512.469207477,6,-2523.14457500936,-2592.691550545392,7.191345919496436e-5,1315.2676081567931,0.13450740387253535,0.06766616777361328,-0.006854960608411214
2022-11-01,DE,19058902.558862597,6,-2523.14457500936,-2592.691550545392,7.191345919496436e-5,1315.2676081567931,0.13450740387253535,0.06766616777361328,-0.006854960608411214
2022-08-01,DK,4656010.3321990175,5,-1079.6009548582076,-1125.2605665671667,1.2864805626689471e-4,579.0337920555132,0.1544751201812672,0.10541445597859297,-0.007602785357672126
2022-09-01,DK,2600616.352352122,5,-1079.6009548582076,-1125.2605665671667,1.2864805626689471e-4,579.0337920555132,0.1544751201812672,0.10541445597859297,-0.007602785357672126
2022-10-01,DK,1795174.484242344,5,-1079.6009548582076,-1125.2605665671667,1.2864805626689471e-4,579.0337920555132,0.1544751201812672,0.10541445597859297,-0.007602785357672126
2022-11-01,DK,1339585.585306965,5,-1079.6009548582076,-1125.2605665671667,1.2864805626689471e-4,579.0337920555132,0.1544751201812672,0.10541445597859297,-0.007602785357672126
2022-08-01,GR,24786282.123948984,6,-1629.8952995554152,-1689.5784251945709,3.9518506931633944e-4,861.6261356742085,0.2606121505165078,0.11250985314308537,-0.002567393053140897
2022-09-01,GR,12984399.212050168,6,-1629.8952995554152,-1689.5784251945709,3.9518506931633944e-4,861.6261356742085,0.2606121505165078,0.11250985314308537,-0.002567393053140897
2022-10-01,GR,5567724.882459269,6,-1629.8952995554152,-1689.5784251945709,3.9518506931633944e-4,861.6261356742085,0.2606121505165078,0.11250985314308537,-0.002567393053140897
2022-11-01,GR,1266009.0063189077,6,-1629.8952995554152,-1689.5784251945709,3.9518506931633944e-4,861.6261356742085,0.2606121505165078,0.11250985314308537,-0.002567393053140897
2022-08-01,ES,70363855.67548805,6,-2323.7998106011432,-2381.9666374846424,1.221933828641025e-4,1206.6267503777099,0.16490278292259897,0.08291151553807648,-0.4165438991942968
2022-09-01,ES,45938527.534266815,6,-2323.7998106011432,-2381.9666374846424,1.221933828641025e-4,1206.6267503777099,0.16490278292259897,0.08291151553807648,-0.4165438991942968
2022-10-01,ES,33817237.94482733,6,-2323.7998106011432,-2381.9666374846424,1.221933828641025e-4,1206.6267503777099,0.16490278292259897,0.08291151553807648,-0.4165438991942968
