month_end,geo,resid_DOM,resid_FOR,resid_TOTAL,share_FOR,month,year,resid_DOM_STD,resid_FOR_STD,resid_TOTAL_STD
2000-03-01,SE,1913802,358585,2272387,0.15780102596960818,3,2000,-0.4004613679749348,-0.5706209302256677,-0.45507681154688107
2000-04-01,SE,1657044,323387,1980431,0.16329122297116133,4,2000,-0.5502136541971113,-0.6230717412178485,-0.5793011062552552
2000-05-01,SE,1671693,424023,2095716,0.2023284643529944,5,2000,-0.5416697286295782,-0.47310754396206406,-0.5302485167710352
2000-06-01,SE,1719232,624241,2343473,0.2663743085582808,6,2000,-0.5139429433503813,-0.17474978286107992,-0.42483044492437805
2000-07-01,SE,2591772,1019279,3611051,0.2822665755759196,7,2000,-0.00504016400057369,0.4139218312286152,0.11451104159362972
2000-08-01,SE,2128187,748101,2876288,0.26009252202839217,8,2000,-0.2754228340957906,0.009821995350508938,-0.19812310688356927
2000-09-01,SE,1738504,448615,2187119,0.20511686835512838,9,2000,-0.5027026857534465,-0.43646141793445714,-0.4913574742535685
2000-10-01,SE,1529050,360335,1889385,0.1907154973708376,10,2000,-0.6248652487831466,-0.5680131423048678,-0.6180402489206521
2000-11-01,SE,1443449,307797,1751246,0.17575885969189936,11,2000,-0.6747914261677054,-0.6463034061808605,-0.6768169818760293
2000-12-01,SE,1140119,260147,1400266,0.1857839867568019,12,2000,-0.8517065017632965,-0.7173097458529274,-0.8261553854599432
2001-01-01,SE,1489041,409355,1898396,0.21563203883699714,1,2001,-0.6482002148580618,-0.49496527723194605,-0.6142061604976803
2001-02-01,SE,1724861,474044,2198905,0.2155818464190131,2,2001,-0.5106598689412309,-0.3985680241984448,-0.4863426516863567
2001-03-01,SE,2122449,475153,2597602,0.18291986224217566,3,2001,-0.2787694819834624,-0.3969154317389207,-0.3167011521886767
2001-04-01,SE,2124508,442632,2567140,0.1724222286279673,4,2001,-0.27756858480662094,-0.4453770722945406,-0.3296624219190693
2001-05-01,SE,2589322,489692,3079014,0.15904182312909262,5,2001,-0.0064691091600013705,-0.37524992969291476,-0.11186526539701015
2001-06-01,SE,3590745,1051458,4642203,0.2264997890010411,6,2001,0.577603767733691,0.46187383551628447,0.5532556809815149
2001-07-01,SE,7573930,2418128,9992058,0.24200500037129488,7,2001,2.9007682268581587,2.4984369884989435,2.8295643171015774
2001-08-01,SE,4024698,1619197,5643895,0.2868935371760105,8,2001,0.8307037835578218,1.3078983534403055,0.9794653914002791
2001-09-01,SE,1979529,588501,2568030,0.229164378920807,9,2001,-0.3621265604264845,-0.22800826302644553,-0.3292837360133491
2001-10-01,SE,1805490,446998,2252488,0.198446340224676,10,2001,-0.46363357536592703,-0.43887101397327627,-0.46354363271309085
2001-11-01,SE,1687564,382594,2070158,0.18481391275448542,11,2001,-0.5324130802110979,-0.5348435701168187,-0.5411231846119312
2001-12-01,SE,1348623,335698,1684321,0.19930761416618328,12,2001,-0.730098019509701,-0.6047263257361524,-0.7052928855168449
2002-01-01,SE,1504431,499144,2003575,0.24912668604868796,1,2002,-0.6392241062851671,-0.3611648945915428,-0.5694535707474027
2002-02-01,SE,1719805,479314,2199119,0.21795728198428552,2,2002,-0.5136087451559519,-0.3907148571455215,-0.4862515968730712
2002-03-01,SE,2123111,491425,2614536,0.18795878121395154,3,2002,-0.27838337516895584,-0.37266747456905974,-0.30949590822523154
2002-04-01,SE,2250601,433993,2684594,0.16166057139366324,4,2002,-0.20402573501571705,-0.45825060363613523,-0.2796869450983245
2002-05-01,SE,2498138,614924,3113062,0.1975302772639928,5,2002,-0.05965153177928857,-0.18863364575141878,-0.09737818930941228
2002-06-01,SE,3782199,1093977,4876176,0.22435141799639718,6,2002,0.6892679581635144,0.525234141004566,0.6528088016771075
2002-07-01,SE,8135392,2625048,10760440,0.24395359297575192,7,2002,3.2282369644510505,2.806781832254328,3.1565030065500217
2002-08-01,SE,4214613,1697333,5911946,0.28710225025736025,8,2002,0.9414703631303556,1.4243338488572335,1.0935183528769208
2002-09-01,SE,2008894,611804,2620698,0.23345078295934898,9,2002,-0.3449996320156299,-0.19328295907307352,-0.30687404019034614
2002-10-01,SE,1811404,458871,2270275,0.20212132891389809,10,2002,-0.4601842767239453,-0.4211782905540433,-0.4559754459658486
2002-11-01,SE,1717174,401918,2119092,0.1896651962255532,11,2002,-0.5151432572843005,-0.5060476308130827,-0.5203022676338264
2002-12-01,SE,1361853,359992,1721845,0.20907340672360172,12,2002,-0.7223817156487915,-0.5685242687373446,-0.6893268069480296
2003-01-01,SE,1555576,409439,1965015,0.2083643127406152,1,2003,-0.6093941470284615,-0.49484010341174767,-0.5858604567300675
2003-02-01,SE,1756115,490759,2246874,0.21841856730729003,2,2003,-0.49243119465031143,-0.3736599241434899,-0.4659323323476002
2003-03-01,SE,2125704,481152,2606856,0.18457176000515563,3,2003,-0.2768710262716514,-0.3879759347464185,-0.31276366974874986
2003-04-01,SE,2175139,463934,2639073,0.17579430353006528,4,2003,-0.24803841241193406,-0.41363358755803753,-0.29905566545145956
2003-05-01,SE,2812063,502787,3314850,0.1516771497956167,5,2003,0.12344300257717457,-0.3557362252227004,-0.011519457238095363
2003-06-01,SE,3944435,1101755,5046190,0.21833403022874684,6,2003,0.7838909568920487,0.536824640689127,0.7251480214244308
2003-07-01,SE,8579052,2629022,11208074,0.23456501090196227,7,2003,3.486998519321126,2.812703746081333,3.3469666994951512
2003-08-01,SE,4396711,1748023,6144734,0.28447496669505956,8,2003,1.0476777327799318,1.4998702886888615,1.1925672681811892
2003-09-01,SE,2075836,602817,2678653,0.22504482663487954,9,2003,-0.3059561843166879,-0.20667506766977586,-0.2822147798914524
2003-10-01,SE,1845263,479664,2324927,0.20631357457675015,10,2003,-0.4404362546206547,-0.3901932995613615,-0.4327215784159367
2003-11-01,SE,1699330,419745,2119075,0.19807935066007573,11,2003,-0.5255506439883117,-0.4794824678050253,-0.5203095009601154
2003-12-01,SE,1373451,385787,1759238,0.21929210260351356,12,2003,-0.7156172642369375,-0.5300854747847534,-0.6734164675406181
2004-01-01,SE,1377463,364792,1742255,0.20937922405158832,1,2004,-0.7132772936330094,-0.5613714790117219,-0.680642560503367
2004-02-01,SE,1623742,451228,2074970,0.21746242114343822,2,2004,-0.5696368099927279,-0.43256761802757127,-0.5390757277823518
2004-03-01,SE,1983648,423683,2407331,0.17599698587356705,3,2004,-0.3597241828298794,-0.4736141999009623,-0.39765951844406133
2004-04-01,SE,1655754,383412,2039166,0.18802392742915486,4,2004,-0.5509660375667692,-0.5336246155344105,-0.5543099639266291
2004-05-01,SE,2829652,544595,3374247,0.1613974910550413,5,2004,0.13370166233602088,-0.29343542671252676,0.013753359326021486
2004-06-01,SE,3594085,1055067,4649152,0.22693751462632325,6,2004,0.5795517990938904,0.46725183929123704,0.5562124094746046
2004-07-01,SE,8375705,2725311,11101016,0.24550104242710757,7,2004,3.368397820817395,2.956190198141851,3.301414614445044
2004-08-01,SE,4455964,1799673,6255637,0.28768820825121405,8,2004,1.0822366256499598,1.576837286465614,1.2397553614419643
2004-09-01,SE,2303002,709288,3012290,0.23546471289284895,9,2004,-0.17346322264870895,-0.048015760403781374,-0.14025564559170234
2004-10-01,SE,1765385,490264,2255649,0.2173494191693832,10,2004,-0.48702453276137486,-0.3743975555839448,-0.46219865951311145
2004-11-01,SE,1643902,400894,2044796,0.19605574345802712,11,2004,-0.5578786326808658,-0.5075735592878822,-0.5519144564556124
2004-12-01,SE,1334013,375469,1709482,0.2196390485538894,12,2004,-0.7386191986032677,-0.5454609923657899,-0.694587137119287
2005-01-01,SE,1457148,380676,1837824,0.20713408900961136,1,2005,-0.6668015813762769,-0.5377017056780155,-0.6399789275553043
2005-02-01,SE,1658396,470958,2129354,0.22117412135323672,2,2005,-0.5494251097662761,-0.4031666719262097,-0.5159358914939377
2005-03-01,SE,2006182,463905,2470087,0.18780917433272593,3,2005,-0.346581386820678,-0.41367680232929654,-0.37095748170318693
2005-04-01,SE,1879691,390954,2270645,0.17217750903377674,4,2005,-0.4203563672946236,-0.5223857946780259,-0.4558180147466166
2005-05-01,SE,2961014,562409,3523423,0.1596200626493044,5,2005,0.21031761908407762,-0.26688963584330955,0.07722622300211111
2005-06-01,SE,3771529,1074662,4846191,0.22175395068002893,6,2005,0.6830447561834763,0.4964516131815655,0.6400504905725897
2005-07-01,SE,8797791,2669740,11467531,0.23280861416463577,7,2005,3.6145764928835957,2.87338026525798,3.4573630017877934
2005-08-01,SE,4841641,1878383,6720024,0.2795202814751852,8,2005,1.3071800061612209,1.6941281363205645,1.4373472847000501
2005-09-01,SE,2436274,807389,3243663,0.24891272613708637,9,2005,-0.09573327191922083,0.09817086977815855,-0.04180879832855088
2005-10-01,SE,1863759,523499,2387258,0.21928882424941082,10,2005,-0.42964859353135904,-0.32487193755663846,-0.40620037483228827
2005-11-01,SE,1736232,436912,2173144,0.20105064367570671,11,2005,-0.5040278136727198,-0.45390081338424093,-0.49730369395293944
2005-12-01,SE,1452739,418367,1871106,0.22359342549272998,12,2005,-0.6693730994203245,-0.48153591452208944,-0.6258177766404948
2006-01-01,SE,1568485,419107,1987592,0.2108616858993194,1,2006,-0.6018650641455832,-0.4804331927727226,-0.5762541739284434
2006-02-01,SE,1732022,504188,2236210,0.22546540798941064,2,2006,-0.5064832663752465,-0.35364850472153425,-0.4704697553797355
2006-03-01,SE,2162238,471463,2633701,0.17901158863515637,3,2006,-0.2555628293514347,-0.40241413884049315,-0.30134139655879555
2006-04-01,SE,1929874,439552,2369426,0.1855099083069064,4,2006,-0.3910874877290892,-0.4499667790351485,-0.4137877086197074
2006-05-01,SE,3195841,595280,3791121,0.1570195200839013,5,2006,0.34727880477914863,-0.21790643770352966,0.19112898658580982
2006-06-01,SE,3908369,1150398,5058767,0.2274067969526962,6,2006,0.7628557176594288,0.6093107137356822,0.7304994064089738
2006-07-01,SE,9220748,3009893,12230641,0.24609446062557147,7,2006,3.861263169535046,3.3802641993287588,3.7820585091070726
2006-08-01,SE,5044205,2083814,7128019,0.29234125217679696,8,2006,1.425324025456857,2.00025412509648,1.6109449881880522
2006-09-01,SE,2613347,822032,3435379,0.2392842245353424,9,2006,0.007543302046223131,0.11999134893488626,0.03976440066140192
2006-10-01,SE,2021767,544114,2565881,0.21205737912241449,10,2006,-0.3374915458779513,-0.29415219584961516,-0.33019811355423984
2006-11-01,SE,1881229,475233,2356462,0.2016722527246355,11,2006,-0.4194593396802564,-0.39679621857682695,-0.4193037581497714
2006-12-01,SE,1475456,434406,1909862,0.22745413019369987,12,2006,-0.6561235699563577,-0.4576351656868265,-0.6093274946606151
2007-01-01,SE,1602531,427371,2029902,0.2105377500982806,1,2007,-0.5820079756158383,-0.46811847312844224,-0.5582517012643731
2007-02-01,SE,1804656,506543,2311199,0.21916892487405887,2,2007,-0.46411999996305464,-0.35013916726240063,-0.4385627021392257
2007-03-01,SE,2301841,485840,2787681,0.1742810601356468,3,2007,-0.174140367681401,-0.380990043447727,-0.23582447997138015
2007-04-01,SE,1857110,448387,2305497,0.19448604791071078,4,2007,-0.4335265757211691,-0.4368011754464242,-0.4409888448745254
2007-05-01,SE,3201190,603352,3804542,0.15858728856193466,5,2007,0.3503985711700787,-0.20587782964827417,0.19683948494611442
2007-06-01,SE,4026586,1187672,5214258,0.22777392296276863,6,2007,0.8318049461949644,0.6648551062841948,0.7966592380565501
2007-07-01,SE,9152429,3039614,12192043,0.24931129261929277,7,2007,3.8214165963322135,3.4245533792110985,3.7656354545127027
2007-08-01,SE,5085091,2059022,7144113,0.2882124064946901,8,2007,1.449170495574555,1.9633099661636388,1.6177928207348626
2007-09-01,SE,2670189,882590,3552779,0.24842243212989043,9,2007,0.040695996230789754,0.21023273231077352,0.08971690103393451
2007-10-01,SE,2141409,577554,2718963,0.21241701339812274,10,2007,-0.26771119617825884,-0.24432109409444377,-0.2650632867907983
