geo,ar1,ar2,ar3,ar4,ma1,ma2,sma1,drift,tour_de,nights_de,lastm_de,allincl_de,sigma,ma3,sar1,sar2,sma2,intercept
HR,0.49534176666714025,NA,NA,NA,0.6115153683067295,0.2092844537424082,-0.29865396622058826,0.004573647847599612,0.07371925013703344,-0.0074701561647803165,0.12891437248692228,0.03174181141373797,0.022661977642265026,NA,NA,NA,NA,NA
HU,0.8934534279141615,NA,NA,NA,NA,NA,0.12656365485632445,NA,-0.025722338202571183,0.036098041497846046,0.10017722017757127,0.07660294127774403,0.03219549210901355,NA,-0.5658225046053492,NA,-0.43560585861806833,NA
IT,0.827809058577526,NA,NA,NA,NA,NA,-0.8405662245223311,-0.0018160318075221395,-0.09058207201510028,-0.007591636660737064,0.07571696826903818,0.08546177019885529,0.015032612091598228,NA,0.050357676547004446,NA,NA,NA
LT,0.8621420015925013,NA,NA,NA,0.448518534250503,0.11549517964424874,-0.4518613072792519,NA,-0.05704239340798237,0.016946897656049745,0.0033041647470867935,0.0030347892886441186,0.025796715372946744,NA,NA,NA,NA,NA
LU,0.6957885307425479,NA,NA,NA,NA,NA,-0.7998042707788554,-0.0020133986313475983,-0.09030782951470481,-0.039296089200966125,0.10915043412504166,0.13922777685015772,0.03411009345216916,NA,0.43948279827988745,0.056766634593227026,NA,NA
LV,0.8846536841699181,NA,NA,NA,0.22522931521678918,NA,-0.6123965430423735,NA,-0.1286963665390262,0.040906984308405336,0.010294062951582745,0.07613165051462455,0.04123673894999629,NA,NA,NA,NA,NA
MT,0.7313704457307839,0.052599253928589586,NA,NA,0.3307926432349874,-0.037258124433656885,-0.8029110520919228,NA,-0.10793038788775691,-0.06360054598302965,0.15712373740877209,0.24612348690042848,0.075377875747101,NA,0.22222673834507675,0.04415534831575218,-0.02976702223329634,NA
NL,0.6056950635906242,-0.7943283100554331,NA,NA,-0.14039376470488665,0.7158633046194602,-0.7905491564263589,NA,-0.06468298415404194,0.04105358762348366,-0.034528027287646354,0.2777321734427443,0.05290722434676803,0.2105908159711142,NA,NA,NA,NA
PL,0.8080540661515923,NA,NA,NA,0.5171534317432901,0.1989300959536899,-0.6085766677571004,NA,-0.013040866590932142,0.01853818901172183,0.0011580718208004034,0.07781894450252133,0.022866209149555082,NA,NA,NA,NA,NA
PT,0.8674015799152335,NA,NA,NA,0.3084000117133447,0.16740312956158282,-0.8170138499077386,NA,-0.03916259503855979,0.03502679701794947,0.09123877630916799,0.08939442602035681,0.03404661164215578,NA,-0.004140238798729019,NA,NA,NA
RO,0.8121563437536081,NA,NA,NA,0.33327215663542265,NA,-0.5861916465415895,NA,-0.006477407086968954,0.018061365003259305,0.05528775715579879,0.055922298869032556,0.02848532156323592,NA,0.17755961330857958,NA,NA,NA
SE,0.8184744751419114,NA,NA,NA,NA,NA,-0.6672352223346966,0.0021556145584268943,-0.019214099569044657,0.007293930258178526,0.13692934945527785,0.01161619429951178,0.016122048174949975,NA,NA,NA,-0.1767559863131381,NA
SI,0.6178623337270117,NA,NA,NA,0.29793071908184154,0.30175556663893194,-0.3880380645119932,NA,-0.015163188188445517,0.041788989934899136,0.045979917523547714,0.13204890546193662,0.03823268958545249,NA,NA,NA,NA,NA
SK,1.65405913105006,-1.0053328535454447,0.30046608347459414,NA,-0.5900556768314309,NA,NA,NA,-0.09891015761190994,0.06658456575941077,0.0117634352329652,0.1397908956421873,0.0633838503127509,NA,-0.4231435812652541,-0.5041339388271759,NA,NA
